legacyCode,title,unit,mainCategoryLegacyCodeRaw,subCategoryLegacyCodeRaw,reason
12101001,باسكت صغير,count,21,01,invalid_main_category:21
12101002,مياه نار,count,21,01,invalid_main_category:21
12101003,مساحه زجاج معدن,count,21,01,invalid_main_category:21
12101004,باكيت كيس باسكت صغير,count,21,01,invalid_main_category:21
12101005,مب او مقص بليم الوبر,count,21,01,invalid_main_category:21
12101006,علبه معطر جوه بخ,count,21,01,invalid_main_category:21
12101007,علبه بيلدج ملمع اخشاب,count,21,01,invalid_main_category:21
12101008,عصايه مقشه,count,21,01,invalid_main_category:21
12101009,بخاخات فاضيه,count,21,01,invalid_main_category:21
12101010,علبه جوانتي طبي,count,21,01,invalid_main_category:21
12101011,مراتب للمصنع,,21,01,invalid_main_category:21
13101001,مواسير بلاستيك 6 بوصه بجوان الشريف,,31,01,invalid_main_category:31
13101002,مواسير بلاستيك 2 بوصه الشريف,,31,01,invalid_main_category:31
13101003,افيز معدني 3 بوصه الشريف,,31,01,invalid_main_category:31
13101004,جلبه بلاستيك 1 بوصه بسن دكر,,31,01,invalid_main_category:31
13101005,جلبه بلاستيك 1 بوصه بسن نتايه,,31,01,invalid_main_category:31
13101006,محبس 1 بوصه 2لاكور,,31,01,invalid_main_category:31
13101007,كوع بلاستيك 1×3/4,,31,01,invalid_main_category:31
13101008,افيز معدني 3/4 بوصه,,31,01,invalid_main_category:31
13101009,كوع بلاستيك 1 بوصه,,31,01,invalid_main_category:31
13101010,افيز معدني 1 بوصه,,31,01,invalid_main_category:31
13101011,حرف (T) لحام بلاستيك 3/4 بوصه,,31,01,invalid_main_category:31
13101012,جلبه بلاستيك 1×3/4 يوصه بسن دكر,,31,01,invalid_main_category:31
13101013,جلبه مسلوب 3/4 ×3/4 مجلفن,,31,01,invalid_main_category:31
13101014,مواسير 1 بوصه معزوله,,31,01,invalid_main_category:31
13101015,كوع لحام 1بوصه معزول,,31,01,invalid_main_category:31
13101016,جلبه لحام معزول,,31,01,invalid_main_category:31
13101017,مواسير 1 بوصه الشريف,,31,01,invalid_main_category:31
13101018,جلبه بلاستيك 1 بوصه الشريف,,31,01,invalid_main_category:31
13101019,حرف (T) لحام بلاستيك الشريف,,31,01,invalid_main_category:31
13101020,طبه كاب 1 بوصه معزوله,,31,01,invalid_main_category:31
13101021,كوع 1/2 × 3/4 بسن,,31,01,invalid_main_category:31
13101022,مواسير بلاستيك 3/4,,31,01,invalid_main_category:31
13101023,مواسير بلاستيك 75 مم الشريف,,31,01,invalid_main_category:31
13101024,مواسر بلاستيك 4 بوصه الشريف,,31,01,invalid_main_category:31
13101025,افيز معدني 4 بوصه,,31,01,invalid_main_category:31
13101026,غرفه 60 ×60 الشريف,,31,01,invalid_main_category:31
13101027,حرف (T) 160 مم واي,,31,01,invalid_main_category:31
13101028,طبه 160 مم الشريف,,31,01,invalid_main_category:31
13101029,جلبه 160 مم الشريف,,31,01,invalid_main_category:31
13101030,حرف 160مم ×110 مم الشريف (T),,31,01,invalid_main_category:31
13101031,سيفون 110 مم الشريف,,31,01,invalid_main_category:31
13101032,كوع 110 مم مفتوح الشريف,,31,01,invalid_main_category:31
13101033,حرف (T) داي 110 الشريف,,31,01,invalid_main_category:31
13101034,كوع 160 مم مفتوح الشريف,,31,01,invalid_main_category:31
13101035,كوع 75 مم مفتوح الشريف,,31,01,invalid_main_category:31
13101036,حرف (T) داي 75 مم الشريف,,31,01,invalid_main_category:31
13101037,مواسير 75 مم الشريف,,31,01,invalid_main_category:31
13101038,بيبه 75مم ×50مم الشريف,,31,01,invalid_main_category:31
13101039,امبوبه شحن,,31,01,invalid_main_category:31
13101040,حرف (T) داي 75 مم ×2 بوصه الشريف,,31,01,invalid_main_category:31
13101041,كوع 2 بوصه مفتوح الشريف,,31,01,invalid_main_category:31
13101042,مواسير 110 مم الشريف,,31,01,invalid_main_category:31
13101043,كوع 75 مم مفتوح الشريف,,31,01,invalid_main_category:31
