title,quantity,unitCost,unit,sourceFile,sourceSheet
أمين مخزن عضو عضو,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحناوى أ. رضاالدمرداش,0,,,الأرتيلون والرخام.xls,الارتيلون
طعم نحاس شواية فحم,2,8550,count,الإكسسوارات.xls,اكسسوار
اونيج حسب العينة,0,1.43,count,الجوانات.xls,الجوانات 
أ. علاء جودة م. مصطفى الحفناوى أ. رضا الدمرداش,0,,,الدهانات.xls,الدهانات
أ. علاء جودة م. مصطفى الحفناوى أ. رضا الدمرادش,0,,,الزجاج.xls,الزجاج
ايطالى S20 محبس,15,1330,count,الغاز.xls,الغاز
بايلوت غاز ايطالى (خطاء فى الترحيل؟؟,60,475,count,الغاز.xls,الغاز
ولاعه اشعال,1918,45,count,الغاز.xls,الغاز
عود روزتة بلاستيك 25مم,10,75,count,الكهرباء.xls,الكهرباء 
أمين مخزن عضو,0,,,المعادن - الأستانلس.xls,الواح س س
أ. علاء جودة م. مصطفى الحناوى,0,,,المعادن - الأستانلس.xls,الواح س س
لوح 0.8 مم SST ذهبى 1.24 × 2.5 م,1626.8799999999999,96.5,kg,المعادن - الأستانلس.xls,الواح س س
أ. علاء جودة م. مصطفى الحناوى أ. رضا الدمرداش,0,,,المعادن - الأستانلس.xls,مواسير
غطاء حله SST 2/1 تركى,14,295,count,المعادن - الأستانلس.xls,حلل س س
أ. علاء جودة م. مصطفى الحفناوى أ. رضا الدمراداش,0,,,المعادن - صاج وحديد.xls, مخزن الحديد والواح الصاج
حوائط المونيوم قطر 80مم,19.75,163.8,kg,المعادن - صاج وحديد.xls, مخزن الحديد والواح الصاج
لوح سكر بلايت 1.8مم مقاس 1×2م,5,2455,count,المعادن - صاج وحديد.xls, مخزن الحديد والواح الصاج
أ. محمد الانور أ. سيد حسين م. مصطفى الحفناوى,0,,,المعادن - صاج وحديد.xls, مخزن الحديد والواح الصاج
